language,part_of_speech,word,translation,word_type,gender,article,display_word,example_sentence,example_translation,exam_board_code,theme_name,unit_name,tier,is_required,curriculum_level
es,n (m),el club,club,,,el,el club,Voy a unirme al club de fútbol.,I'm joining the football club.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el examen,exam,,,el,el examen,Tengo un examen mañana por la mañana.,I have an exam tomorrow morning.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el Internet,internet,,,el,el Internet,Usamos el Internet para investigar temas escolares.,We use the internet to research school topics.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el uniforme,uniform,,,el,el uniforme,El uniforme escolar es azul y blanco.,The school uniform is blue and white.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el día,day,,,el,el día,El día estuvo soleado y caluroso.,The day was sunny and hot.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el país,country,,,el,el país,Mi país tiene muchas montañas.,My country has many mountains.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,llamar; llamarse,"(to) call, name | calling, naming; (to) be called | being called",,,,llamar; llamarse,Me llamo Ana y vivo en Madrid.,My name is Ana and I live in Madrid.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el mundo,world,,,el,el mundo,El mundo es muy grande y diverso.,The world is very big and diverse.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el trabajo,"work, job, effort",,,el,el trabajo,Mi padre tiene mucho trabajo hoy.,My father has a lot of work today.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,trabajar,(to) work | working,,,,trabajar,Mi madre trabaja en una oficina.,My mother works in an office.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,buscar,"(to) look for, fetch | looking for, fetching",,,,buscar,Voy a buscar mis libros en la mochila.,I am going to look for my books in the backpack.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la historia,"history, story",,,la,la historia,Me gusta aprender historia antigua.,I like learning ancient history.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la palabra,word,,,la,la palabra,No entiendo esa palabra en la frase.,I don't understand that word in the sentence.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,escribir,(to) write | writing,,,,escribir,Me gusta escribir en mi cuaderno.,I like to write in my notebook.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el señor,"Mr., man, Sir, gentleman",,,el,el señor,El señor Gómez es mi profesor de matemáticas.,Mr. Gómez is my math teacher.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el arte,art,,,el,el arte,Estudio arte en la escuela secundaria.,I study art in high school.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,leer,(to) read | reading,,,,leer,Me gusta leer libros de aventuras.,I like reading adventure books.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el amigo,friend,,,el,el amigo,Mi amigo y yo jugamos en el parque.,My friend and I play in the park.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,pedir,(to) ask for | asking for,,,,pedir,Voy a pedir una pizza para la cena.,I am going to order a pizza for dinner.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,permitir; permitirse,"(to) allow, permit | allowing, permitting; (to) afford | affording",,,,permitir; permitirse,No puedo permitirme un coche nuevo.,I can't afford a new car.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el libro,book,,,el,el libro,Estoy leyendo un libro interesante.,I am reading an interesting book.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la relación,relationship,,,la,la relación,Nuestra relación es muy buena.,Our relationship is very good.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,sacar,"(to) take out, get, obtain | taking out, getting, obtaining",,,,sacar,Saco fotos en mis vacaciones.,I take photos on my holidays.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la puerta,door,,,la,la puerta,"Abre la puerta, por favor.","Open the door, please.",AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el estudio,"study, learning, studio",,,el,el estudio,Estudio en la universidad local.,I study at the local university.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (mpl),servicios,toilets,,,,servicios,Los servicios en el aeropuerto son buenos.,The services at the airport are good.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,servir,(to) serve | serving,,,,servir,El camarero sirve comida rápidamente.,The waiter serves food quickly.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la empresa,"company, business, firm",,,la,la empresa,Trabajo en una empresa grande.,I work in a big company.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la clase,"class, kind, type, classroom, lesson",,,la,la clase,La clase de historia es interesante.,History class is interesting.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,tocar,"(to) touch, play (instrument) | touching, playing (instrument)",,,,tocar,Me gusta tocar la guitarra.,I like to play the guitar.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,estudiar,(to) study | studying,,,,estudiar,Voy a estudiar para el examen.,I am going to study for the exam.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la música,music,,,la,la música,Escucho música cada día.,I listen to music every day.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el campo,"countryside, pitch, field",,,el,el campo,Vivo en el campo cerca del río.,I live in the countryside near the river.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,comer,(to) eat | eating,,,,comer,Me gusta comer fruta fresca.,I like to eat fresh fruit.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,jugar,(to) play (sport/game) | playing (sport/game),,,,jugar,Me gusta jugar al fútbol.,I like to play football.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el juego,game,,,el,el juego,El juego fue muy divertido.,The game was very fun.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,,(I) play | (I) am playing,,,,,Estoy jugando en el parque ahora.,I am playing in the park now.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,juegas,(you) play | (you) are playing,,,,juegas,¿Juegas al baloncesto?,Do you play basketball?,AQA,People and lifestyle,Education and work,both,,KS4
es,v,juega,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))",,,,juega | ijuega!,Ella juega al tenis los fines de semana.,She plays tennis on weekends.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,juegan,(they) play | (they) are playing,,,,juegan,Ellos juegan en el equipo de fútbol.,They play on the football team.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el equipo,"team, equipment",,,el,el equipo,Nuestro equipo ganó el partido.,Our team won the match.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el proyecto,"project, plan",,,el,el proyecto,Trabajo en un proyecto escolar importante.,I work on an important school project.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la universidad,university,,,la,la universidad,Voy a estudiar en la universidad.,I am going to study at the university.,AQA,People and lifestyle,Education and work,both,,KS4
