word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word
quedarme en casa,to stay at home,ES,free_time_leisure,hobbies_interests,verb,Me quedo en casa,I stay at home,,quedarme en casa,,
ver la tele,to watch TV,ES,free_time_leisure,hobbies_interests,verb,Me gusta ver la tele,I like watching TV,,ver la tele,,
ver películas,to watch films,ES,free_time_leisure,hobbies_interests,verb,Veo películas,I watch films,,ver películas,,
leer libros,to read books,ES,free_time_leisure,hobbies_interests,verb,Me gusta leer libros,I like reading books,,leer libros,,
leer revistas,to read magazines,ES,free_time_leisure,hobbies_interests,verb,Me gusta leer revistas,I like reading magazines,,leer revistas,,
leer cómics,to read comics,ES,free_time_leisure,hobbies_interests,verb,Me gusta leer cómics,I like reading comics,,leer cómics,,
jugar en la consola de videojuegos,to play on the games console,ES,free_time_leisure,hobbies_interests,verb,Juego en la consola,I play on the games console,,jugar en la consola de videojuegos,,
escuchar música,to listen to music,ES,free_time_leisure,hobbies_interests,verb,Escucho música,I listen to music,,escuchar música,,
dibujar,to draw,ES,free_time_leisure,hobbies_interests,verb,Dibujo,I draw,,dibujar,,
bailar,to dance,ES,free_time_leisure,hobbies_interests,verb,Bailo,I dance,,bailar,,
chatear con amigos,to chat with friends,ES,free_time_leisure,hobbies_interests,verb,Chateo con amigos,I chat with friends,,chatear con amigos,,
me quedo en casa,I stay at home,ES,free_time_leisure,hobbies_interests_1st_person,verb,Me quedo en casa,I stay at home,,me quedo en casa,,
veo la tele,I watch TV,ES,free_time_leisure,hobbies_interests_1st_person,verb,Veo la tele,I watch TV,,veo la tele,,
veo películas,I watch films,ES,free_time_leisure,hobbies_interests_1st_person,verb,Veo películas,I watch films,,veo películas,,
leo libros,I read books,ES,free_time_leisure,hobbies_interests_1st_person,verb,Leo libros,I read books,,leo libros,,
leo revistas,I read magazines,ES,free_time_leisure,hobbies_interests_1st_person,verb,Leo revistas,I read magazines,,leo revistas,,
leo cómics,I read comics,ES,free_time_leisure,hobbies_interests_1st_person,verb,Leo cómics,I read comics,,leo cómics,,
juego en la consola de videojuegos,I play on the games console,ES,free_time_leisure,hobbies_interests_1st_person,verb,Juego en la consola,I play on the games console,,juego en la consola de videojuegos,,
escucho música,I listen to music,ES,free_time_leisure,hobbies_interests_1st_person,verb,Escucho música,I listen to music,,escucho música,,
dibujo,I draw,ES,free_time_leisure,hobbies_interests_1st_person,verb,Dibujo,I draw,,dibujo,,
bailo,I dance,ES,free_time_leisure,hobbies_interests_1st_person,verb,Bailo,I dance,,bailo,,
chateo con amigos,I chat with friends,ES,free_time_leisure,hobbies_interests_1st_person,verb,Chateo con amigos,I chat with friends,,chateo con amigos,,
el baloncesto,basketball,ES,free_time_leisure,sports_ball_games,noun,Me gusta el baloncesto,I like basketball,m,el baloncesto,,
juego al baloncesto,I play basketball,ES,free_time_leisure,sports_ball_games,verb,Juego al baloncesto,I play basketball,,juego al baloncesto,,
el rugby,rugby,ES,free_time_leisure,sports_ball_games,noun,Me gusta el rugby,I like rugby,m,el rugby,,
juego al rugby,I play rugby,ES,free_time_leisure,sports_ball_games,verb,Juego al rugby,I play rugby,,juego al rugby,,
el críquet,cricket,ES,free_time_leisure,sports_ball_games,noun,Me gusta el críquet,I like cricket,m,el críquet,,
juego al críquet,I play cricket,ES,free_time_leisure,sports_ball_games,verb,Juego al críquet,I play cricket,,juego al críquet,,
el fútbol,football/soccer,ES,free_time_leisure,sports_ball_games,noun,Me gusta el fútbol,I like football,m,el fútbol,,
juego al fútbol,I play football,ES,free_time_leisure,sports_ball_games,verb,Juego al fútbol,I play football,,juego al fútbol,,
el tenis,tennis,ES,free_time_leisure,sports_ball_games,noun,Me gusta el tenis,I like tennis,m,el tenis,,
juego al tenis,I play tennis,ES,free_time_leisure,sports_ball_games,verb,Juego al tenis,I play tennis,,juego al tenis,,
el alpinismo,mountaineering,ES,free_time_leisure,sports_outdoor,noun,Me gusta el alpinismo,I like mountaineering,m,el alpinismo,,
Hago alpinismo,I do mountaineering,ES,free_time_leisure,sports_outdoor,verb,Hago alpinismo,I do mountaineering,,Hago alpinismo,,
el atletismo,athletics,ES,free_time_leisure,sports_outdoor,noun,Me gusta el atletismo,I like athletics,m,el atletismo,,
Hago atletismo,I do athletics,ES,free_time_leisure,sports_outdoor,verb,Hago atletismo,I do athletics,,Hago atletismo,,
el ciclismo,cycling,ES,free_time_leisure,sports_outdoor,noun,Me gusta el ciclismo,I like cycling,m,el ciclismo,,
Hago ciclismo,I do cycling,ES,free_time_leisure,sports_outdoor,verb,Hago ciclismo,I do cycling,,Hago ciclismo,,
el esquí,skiing,ES,free_time_leisure,sports_outdoor,noun,Me gusta el esquí,I like skiing,m,el esquí,,
Hago esquí,I do skiing,ES,free_time_leisure,sports_outdoor,verb,Hago esquí,I do skiing,,Hago esquí,,
la equitación,horse riding,ES,free_time_leisure,sports_outdoor,noun,Me gusta la equitación,I like horse riding,f,la equitación,,
Hago equitación,I do horse riding,ES,free_time_leisure,sports_outdoor,verb,Hago equitación,I do horse riding,,Hago equitación,,
la pesca,fishing,ES,free_time_leisure,sports_outdoor,noun,Me gusta la pesca,I like fishing,f,la pesca,,
Hago pesca,I do fishing,ES,free_time_leisure,sports_outdoor,verb,Hago pesca,I do fishing,,Hago pesca,,
la natación,swimming,ES,free_time_leisure,sports_indoor,noun,Me gusta la natación,I like swimming,f,la natación,,
Hago natación,I do swimming,ES,free_time_leisure,sports_indoor,verb,Hago natación,I do swimming,,Hago natación,,
la gimnasia,gymnastics,ES,free_time_leisure,sports_indoor,noun,Me gusta la gimnasia,I like gymnastics,f,la gimnasia,,
Hago gimnasia,I do gymnastics,ES,free_time_leisure,sports_indoor,verb,Hago gimnasia,I do gymnastics,,Hago gimnasia,,
el boxeo,boxing,ES,free_time_leisure,sports_indoor,noun,Me gusta el boxeo,I like boxing,m,el boxeo,,
Hago boxeo,I do boxing,ES,free_time_leisure,sports_indoor,verb,Hago boxeo,I do boxing,,Hago boxeo,,
el patinaje,skating,ES,free_time_leisure,sports_indoor,noun,Me gusta el patinaje,I like skating,m,el patinaje,,
Hago patinaje,I do skating,ES,free_time_leisure,sports_indoor,verb,Hago patinaje,I do skating,,Hago patinaje,,
