word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
la cena,dinner,DE,food_drink,meals,noun,KS3,La cena está lista.,Dinner is ready.,f,,quedarme en casa,,
la merienda,snack,DE,food_drink,meals,noun,KS3,Tomamos la merienda a las 5.,We have a snack at 5.,f,,ver la tele,,
el aperitivo,starter,DE,food_drink,meals,noun,KS3,El aperitivo es una sopa.,The starter is a soup.,m,,ver películas,,
das Frühstück,breakfast,DE,food_drink,meals,noun,KS3,Ich esse Frühstück um 8 Uhr.,I have breakfast at 8 o'clock.,n,,leer libros,,
das Mittagessen,lunch,DE,food_drink,meals,noun,KS3,Wir essen Mittagessen um 12 Uhr.,We eat lunch at 12 o'clock.,n,,leer revistas,,
das Abendessen,dinner,DE,food_drink,meals,noun,KS3,Das Abendessen ist fertig.,Dinner is ready.,n,,leer cómics,,
der Snack,snack,DE,food_drink,meals,noun,KS3,Ich esse einen Snack nach der Schule.,I have a snack after school.,m,,jugar en la consola de videojuegos,,
die Vorspeise,starter,DE,food_drink,meals,noun,KS3,Die Vorspeise ist Suppe.,The starter is soup.,f,,escuchar música,,
der Hauptgang,main course,DE,food_drink,meals,noun,KS3,Der Hauptgang ist Fisch.,The main course is fish.,m,,dibujar,,
der Nachtisch,dessert,DE,food_drink,meals,noun,KS3,Der Nachtisch ist Eis.,The dessert is ice cream.,m,,bailar,,
die Mahlzeit,meal,DE,food_drink,meals,noun,KS3,Das ist eine gute Mahlzeit.,That is a good meal.,f,,chatear con amigos,,
le cou,neck,FR,health_lifestyle,parts_of_body,noun,KS3,J'ai mal au cou.,I have a neck ache.,m,le,le cou,,
la main,hand,FR,health_lifestyle,parts_of_body,noun,KS3,Lave tes mains.,Wash your hands.,f,la,la main,,
la jambe,leg,FR,health_lifestyle,parts_of_body,noun,KS3,J'ai mal à la jambe.,My leg hurts.,f,la,la jambe,,
l'oreille,ear,FR,health_lifestyle,parts_of_body,noun,KS3,Mon chien a de grandes oreilles.,My dog has big ears.,f,l',l'oreille,,
