language,frequency_rank,translation,word,part_of_speech,gender,curriculum_level,exam_board_code,Theme,unit_name,tier,,
es,1.0,the (m),el,det,,KS4,edexcel,,General and grammatical,both,,
es,1.0,the (f),la,det,,KS4,edexcel,,General and grammatical,both,,
es,1.0,the (mpl),los,det,,KS4,edexcel,,General and grammatical,both,,
es,1.0,the (fpl),las,det,,KS4,edexcel,,General and grammatical,both,,
es,2.0,"of, from",de,prep,,KS4,edexcel,,General and grammatical,both,,
es,2.0,"of the (m, sing)",del,prep,,KS4,edexcel,,General and grammatical,both,,
es,3.0,"who, that, which (subj)",que,pron,,KS4,edexcel,,General and grammatical,both,,
es,3.0,than,que,conj,,KS4,edexcel,,General and grammatical,both,,
es,4.0,"and, past (when giving the time)","y, e",conj,,KS4,edexcel,,General and grammatical,both,,
es,5.0,"in, on, at",en,prep,,KS4,edexcel,,General and grammatical,both,,
es,6.0,a/an (m),un,det,,KS4,edexcel,,General and grammatical,both,,
es,6.0,a/an (f),una,det,,KS4,edexcel,,General and grammatical,both,,
es,6.0,some (mpl),unos,det,,KS4,edexcel,,General and grammatical,both,,
es,6.0,some (fpl),unas,det,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(to) be | being,ser,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(I) am,soy,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(you (sing informal)) are,eres,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,"(she, he, it, one) is | (you (sing formal)) are",es,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(we) are,somos,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(you (pl informal)) are,sois,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(they) are | (you (pl formal)) are | it is ,son,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(I) went | (I) was,fui,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(you (sing informal)) went | (you (sing informal)) were,fuiste,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,"(she, he, it, one) went | (you (sing formal)) went | (she, he, it, one) was | (you (sing formal)) were",fue,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(we) went | (we) were,fuimos,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(you (pl informal)) went | (you (pl informal)) were,fuisteis,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(they) went | (you (pl formal)) went | they were | (you (pl formal)) were,fueron,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,"(I, she, he, it, one) was | (I, she, he, it, one) used to be | (you (sing formal)) were | (you (sing formal)) used to be",era,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,(you (sing informal)) were | (you (sing informal)) used to be,eras,v,,KS4,edexcel,,General and grammatical,both,,
es,7.0,Be…! (sing informal),¡Sé…!,v,,KS4,edexcel,,General and grammatical,both,,
es,8.0,"to, at, away, on",a,prep,,KS4,edexcel,,General and grammatical,both,,
es,8.0,"(to) the (m, sing)",al,prep,,KS4,edexcel,,General and grammatical,both,,
es,9.0,he (subj),él,pron,,KS4,edexcel,,General and grammatical,both,,
es,9.0,"they (m, mixed gender) (subj)",ellos,pron,,KS4,edexcel,,General and grammatical,both,,
